symbol,date,open,high,low,close,candle_name,strength_percentage
SALICO,2024-12-29,691.0,704.0,691.0,698.0,BELTHOLD,66.0
SAMAJ,2024-12-29,3599.0,3650.0,3509.9,3509.9,CLOSINGMARUBOZU,75.0
SAND2085,2024-12-09,1119.0,1150.0,1119.0,1150.0,CLOSINGMARUBOZU,75.0
SANIMA,2024-12-29,309.0,309.0,302.0,302.1,SHORTLINE,56.0
SAPDBL,2024-12-29,950.0,983.9,872.1,872.1,CLOSINGMARUBOZU,75.0
SARBTM,2024-12-29,727.8,733.0,715.1,717.0,,
SBCF,2024-12-29,9.05,9.13,9.05,9.13,DOJI,58.0
SBI,2024-12-29,442.0,442.0,428.0,430.0,SHORTLINE,56.0
SBIBD86,2024-12-26,1102.0,1114.4,1102.0,1114.4,SHORTLINE,56.0
SBID83,2024-12-29,1130.0,1130.0,1130.0,1130.0,DOJI,58.0
SBL,2024-12-29,310.0,311.5,303.0,306.0,SHORTLINE,56.0
SBLD2082,2024-12-29,1160.0,1160.0,1160.0,1160.0,DOJI,58.0
SBLD83,2024-12-29,1144.0,1144.4,1144.0,1144.4,DOJI,58.0
SBLD84,2024-12-29,1041.0,1059.0,1040.2,1059.0,CLOSINGMARUBOZU,75.0
SBLPO,2024-07-21,137.7,137.7,137.7,137.7,DOJI,58.0
SCB,2024-12-29,675.0,675.0,670.0,672.0,,
SCBD,2024-12-29,1110.0,1110.0,1110.0,1110.0,DOJI,58.0
SDBD87,2024-12-26,1088.0,1088.0,1088.0,1088.0,DOJI,58.0
SDLBSL,2024-07-11,1118.0,1125.0,1060.0,1067.0,ENGULFING,78.0
SEF,2024-12-29,9.56,9.75,9.56,9.58,DOJISTAR,80.0
SENFLOAT,2024-12-29,150.46,151.24,149.1,149.46,SHORTLINE,56.0
SENSITIVE,2024-12-29,451.73,453.99,447.93,448.99,,
SFCL,2024-12-29,640.0,640.0,601.0,608.0,BELTHOLD,66.0
SFEF,2024-12-29,9.1,9.17,9.1,9.17,DOJISTAR,80.0
SFMF,2024-12-29,10.09,10.09,10.09,10.09,GAPSIDESIDEWHITE,70.0
SGHC,2024-12-29,477.0,477.0,448.0,461.0,BELTHOLD,66.0
SGIC,2024-12-29,658.0,678.0,658.0,663.0,SHOOTINGSTAR,65.0
SHEL,2024-12-29,240.0,242.0,235.3,237.0,SHORTLINE,56.0
