symbol,date,open,high,low,close,Candles_Present,Max_Candle_Strength
SINDUP,2024-03-13,188.0,188.0,188.0,188.0,"DOJI,DOJISTAR,SHORTLINE",0.33
SJLIC,2024-12-29,450.0,456.0,446.1,447.9,"DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,SHOOTINGSTAR",0.5
SKBBLP,2024-09-05,100.0,100.0,100.0,100.0,"DOJI,SHORTLINE",0.5
SLBBL,2024-12-29,875.4,925.1,875.4,910.0,BELTHOLD,1.0
SLBBLP,2024-02-22,410.0,410.0,410.0,410.0,"DOJI,SHORTLINE",0.5
SLCF,2024-12-29,9.51,9.63,9.35,9.63,"DOJI,HAMMER,LONGLEGGEDDOJI,SHORTLINE",0.25
SLK,2024-12-12,11.75,11.75,11.75,11.75,"DOJI,GAPSIDESIDEWHITE,SHORTLINE",1.0
SMATA,2024-12-29,805.0,863.0,805.0,839.0,BELTHOLD,1.0
SMATAP,2024-11-20,495.0,495.0,495.0,495.0,"DOJI,SHORTLINE",0.5
SMBPO,2024-12-01,652.0,652.0,652.0,750.0,"BELTHOLD,CLOSINGMARUBOZU,LONGLINE,MARUBOZU",0.25
SMPDA,2024-12-29,928.0,964.9,911.1,940.0,SPINNINGTOP,1.0
SNLI,2024-12-29,615.2,630.0,615.2,622.0,"DOJI,GRAVESTONEDOJI,INVERTEDHAMMER,LONGLEGGEDDOJI",0.25
SPC,2024-12-29,515.0,520.0,500.0,508.8,"DOJI,DRAGONFLYDOJI,HANGINGMAN,LONGLEGGEDDOJI",0.5
SPHL,2024-12-29,809.1,810.0,760.1,810.0,"DOJI,DRAGONFLYDOJI,HANGINGMAN,LONGLEGGEDDOJI,TAKURI",0.33
SPIL,2024-12-29,794.0,800.0,786.1,800.0,SHORTLINE,1.0
SRBLD83,2024-12-26,1150.0,1152.6,1150.0,1152.6,"DOJI,SHORTLINE",0.5
SRLI,2024-12-29,420.1,424.0,420.0,421.3,"DOJI,HIKKAKE,INVERTEDHAMMER,LONGLEGGEDDOJI,SHORTLINE",0.5
SSIS,2024-11-27,11.03,11.03,11.03,11.03,"DOJI,SHORTLINE",0.5
