id,date,symbol,open,high,low,close,volume,ltp,previous_closing,RSI_6,RSI_14,SMA_20,EMA_20
1875904,2024-09-01,NABIL,614.0,614.0,589.0,595.0,150454.0,595.0,605.0,24.956687446514877,44.01691105872813,637.8249999999999,620.5643425552228
1875905,2024-09-02,NABIL,600.0,612.0,585.0,611.7,174550.0,611.7,595.0,41.807028779593224,50.07809440842522,636.2099999999999,619.7201194547254
1875906,2024-09-03,NABIL,615.0,623.0,610.0,610.0,107180.0,610.0,611.7,40.69091652988317,49.49068464679584,634.245,618.7943937923706
1875907,2024-09-04,NABIL,622.2,622.2,595.0,595.0,139235.0,595.0,610.0,31.723565865598314,44.52762065368803,631.745,616.5282610502401
1875908,2024-09-05,NABIL,596.0,598.0,585.0,592.0,92820.0,592.0,595.0,30.129975480249605,43.586186467630895,628.345,614.1922361883124
1875909,2024-09-08,NABIL,603.8,603.8,585.0,586.0,99880.0,586.0,592.0,26.888301641504487,41.687802082847845,626.395,611.5072613132351
1875910,2024-09-09,NABIL,588.0,592.0,572.0,573.0,93805.0,573.0,586.0,21.010866458971382,37.84200629570581,623.47,607.839903092927
1875911,2024-09-10,NABIL,583.0,583.0,567.5,569.8,97919.0,569.8,573.0,19.736532647651007,36.93866934134448,620.4599999999999,604.2170551793149
1875912,2024-09-11,NABIL,577.0,577.5,560.0,561.5,78865.0,561.5,569.8,16.602387230551145,34.62960537835558,616.5799999999999,600.1487642098564
1875913,2024-09-12,NABIL,572.7,572.7,554.0,569.0,91654.0,569.0,561.5,28.853276320592773,38.37810621621807,612.685,597.1822152374891
1875914,2024-09-15,NABIL,574.0,590.0,570.0,571.0,100482.0,571.0,569.0,32.04752867191043,39.37643002484548,608.8399999999999,594.6886709291568
1875915,2024-09-16,NABIL,571.0,571.0,560.1,561.2,56485.0,561.2,571.0,25.35420726437099,36.27524613780334,604.65,591.4992736978086
1875916,2024-09-18,NABIL,562.0,565.0,550.0,556.0,68886.0,556.0,561.2,22.37821927464729,34.71301439038907,599.45,588.1183904884934
1875917,2024-09-22,NABIL,556.0,578.0,556.0,562.0,55026.0,562.0,556.0,33.22979919031154,38.02931563319489,594.45,585.6309247276846
1875918,2024-09-23,NABIL,573.2,573.2,555.0,568.0,123568.0,568.0,562.0,42.82202488621728,41.243480165638,589.9350000000001,583.9517890393337
1875919,2024-09-24,NABIL,567.0,567.0,552.1,553.5,66337.0,553.5,568.0,30.22841818861956,36.3383707540377,584.9100000000001,581.0516186546353
1875920,2024-09-25,NABIL,550.0,560.0,545.1,555.0,50441.0,555.0,553.5,32.68591725554904,37.17082938730773,580.815,578.5705121160986
1875921,2024-09-26,NABIL,555.2,562.0,549.0,550.0,50686.0,550.0,555.0,28.64953440507699,35.50424018340169,578.0350000000001,575.8495109621845
1875922,2024-09-29,NABIL,550.0,550.0,540.0,541.5,46227.0,541.5,550.0,22.884485501584177,32.81097536447894,574.3100000000001,572.5781289657859
1875923,2024-09-30,NABIL,540.0,550.5,540.0,550.0,49497.0,550.0,541.5,37.88380393796775,37.88529635322079,571.5600000000001,570.4278309690444
1875924,2024-10-01,NABIL,550.0,571.0,550.0,568.0,74522.0,568.0,550.0,58.430417505807554,47.01166729649708,570.21,570.1966089719925
1875925,2024-10-02,NABIL,571.0,579.3,565.0,565.0,56823.0,565.0,568.0,54.80478427168423,45.80374737749598,567.875,569.7016938318028
1875926,2024-10-06,NABIL,565.0,574.0,556.0,574.0,84468.0,574.0,565.0,63.057139285344554,49.95782497338217,566.075,570.1110563240121
1875927,2024-10-07,NABIL,584.0,593.2,580.0,591.5,69067.0,591.5,574.0,74.09430338429588,56.878925303638496,565.9,572.1480985788681
1875928,2024-10-08,NABIL,592.0,600.0,580.0,591.0,65705.0,591.0,591.5,73.34302824739144,56.637899939139416,565.85,573.943517761833
1875929,2024-10-09,NABIL,595.0,595.0,580.0,593.0,38505.0,593.0,591.0,74.58019339391177,57.41523858487355,566.2,575.7584208321347
1875930,2024-10-15,NABIL,593.0,601.0,593.0,600.0,69441.0,600.0,593.0,78.72684908573552,60.11056033313624,567.55,578.0671426576456
